sales,adverts,airplay,attract
330,10.256,43,10
120,985.685,28,7
360,1445.563,35,7
270,1188.193,33,7
220,574.513,44,5
170,568.954,19,5
70,471.814,20,1
210,537.352,22,9
200,514.068,21,7
300,174.093,40,7
290,1720.806,32,7
70,611.479,20,2
150,251.192,24,8
190,97.972,38,6
240,406.814,24,7
100,265.398,25,5
250,1323.287,35,5
210,196.65,36,8
280,1326.598,27,8
230,1380.689,33,8
210,792.345,33,7
230,957.167,28,6
320,1789.659,30,9
210,656.137,34,7
230,613.697,49,7
250,313.362,40,8
60,336.51,20,4
330,1544.899,42,7
150,68.954,35,8
150,785.692,8,6
180,125.628,49,7
80,377.925,19,8
180,217.994,42,6
130,759.862,6,7
320,1163.444,36,6
280,842.957,32,7
200,125.179,28,6
130,236.598,25,8
190,669.811,34,8
150,612.234,21,6
230,922.019,34,7
310,50,63,7
340,2000,31,7
240,1054.027,25,7
180,385.045,42,7
220,1507.972,37,7
40,102.568,25,8
190,204.568,26,7
290,1170.918,39,7
340,689.547,46,7
250,784.22,36,6
190,405.913,12,4
120,179.778,2,8
230,607.258,29,8
190,1542.329,33,8
210,1112.47,28,7
170,856.985,10,6
310,836.331,38,7
90,236.908,19,4
140,1077.855,13,6
300,579.321,30,7
340,1500,38,8
170,731.364,22,8
100,25.689,23,6
200,391.749,22,9
80,233.999,20,7
100,275.7,18,6
70,56.895,37,7
50,255.117,16,8
240,566.501,32,8
160,102.568,26,5
290,250.568,53,9
140,68.594,28,7
210,642.786,32,7
300,1500,24,7
230,102.563,37,6
280,756.984,30,8
160,51.229,19,7
200,644.151,47,6
110,15.313,22,5
110,243.237,10,8
70,256.894,1,4
100,22.464,1,6
190,45.689,39,6
70,724.938,8,5
360,1126.461,38,7
360,1985.119,35,5
300,1837.516,40,5
120,135.986,22,7
150,237.703,27,8
220,976.641,31,6
280,1452.689,19,7
300,1600,24,9
140,268.598,1,7
290,900.889,38,8
180,982.063,26,6
140,201.356,11,6
210,746.024,34,6
250,1132.877,55,7
250,1000,5,7
120,75.896,34,6
290,1351.254,37,9
60,202.705,13,8
140,365.985,23,6
290,305.268,54,6
160,263.268,18,7
100,513.694,2,7
160,152.609,11,6
150,35.987,30,8
140,102.568,22,7
230,215.368,36,6
230,426.784,37,8
30,507.772,9,3
80,233.291,2,7
190,1035.433,12,8
90,102.642,5,9
120,526.142,14,7
150,624.538,20,5
230,912.349,57,6
150,215.994,19,8
210,561.963,35,7
180,474.76,22,5
140,231.523,16,7
360,678.596,53,7
10,70.922,4,6
240,1567.548,29,6
270,263.598,43,7
290,1423.568,26,7
220,715.678,28,7
230,777.237,37,8
220,509.43,32,5
240,964.11,34,7
260,583.627,30,7
170,923.373,15,7
130,344.392,23,7
270,1095.578,31,8
140,100.025,21,5
60,30.425,28,1
210,1080.342,18,7
210,799.899,28,7
240,1071.752,37,8
210,893.355,26,6
200,283.161,30,8
140,917.017,10,7
90,234.568,21,7
120,456.897,18,9
100,206.973,14,7
360,1294.099,38,7
180,826.859,36,6
150,564.158,32,7
110,192.607,9,5
90,10.652,39,5
160,45.689,24,7
230,42.568,45,7
40,20.456,13,8
60,635.192,17,6
230,1002.273,32,7
230,1177.047,23,6
120,507.638,0,6
150,215.689,35,5
120,526.48,26,6
60,26.895,19,6
280,883.877,26,7
120,9.104,53,8
230,103.568,29,8
230,169.583,28,7
40,429.504,17,6
140,223.639,26,8
360,145.585,42,8
210,985.968,17,6
260,500.922,36,8
250,226.652,45,7
200,1051.168,20,7
150,68.093,15,7
250,1547.159,28,8
100,393.774,27,6
260,804.282,17,8
210,801.577,32,8
290,450.562,46,9
220,26.598,47,8
70,179.061,19,1
110,345.687,22,8
250,295.84,55,9
320,2271.86,31,5
300,1134.575,39,8
180,601.434,21,6
180,45.298,36,6
200,759.518,21,7
320,832.869,44,7
140,56.894,27,7
100,709.399,16,6
120,56.895,33,6
230,767.134,33,8
150,503.172,21,7
250,700.929,35,9
190,910.851,26,7
240,888.569,14,6
250,800.615,34,6
230,1500,11,8
110,785.694,20,9
