x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
21,2,0,12,2,50,100,0.086,NA,1,12,4,0.58333,0.08333,0,0,NA,NA,1
25,2,0,12,NA,56,100,0.2,1,1,12,4,0.58333,0.08333,0,0,0,0,1
20,2,1,12,2,50,NA,0.18,1,1,12,4,0.58333,0.08333,0,0,0,NA,1
37,2,1,12,NA,60,100,0.169,1,1,12,4,0.58333,0.08333,0,0,0,0,1
11,2,1,12,NA,NA,100,NA,1,1,6,4,0.75,0.08333,0,0,NA,0,0
11,NA,1,12,NA,52,100,NA,1,1,6,4,0.83333,0,0,0,NA,NA,0
9,2,NA,12,NA,NA,NA,NA,NA,0,6,4,0.33333,0.08333,0,0,NA,NA,0
9,2,0,NA,1,51,100,0.025,1,0,6,4,0.33333,0.08333,0,0,NA,NA,0
9,2,0,12,1,51,100,NA,NA,0,6,4,0.33333,0.08333,0,0,NA,NA,0
9,NA,NA,NA,NA,NA,NA,0.025,1,0,6,4,0.33333,0.08333,0,0,0,NA,0
9,2,0,NA,1,51,NA,NA,1,0,6,4,0.33333,0.08333,0,0,0,NA,0
9,2,1,NA,1,51,100,NA,1,0,6,4,0.41667,0,0,0,NA,NA,0
9,2,1,12,1,51,100,0.025,1,0,6,4,0.41667,0,0,0,NA,NA,0
9,2,1,NA,1,51,NA,NA,1,0,6,4,0.41667,0,0,0,NA,0,0
9,NA,NA,12,NA,NA,NA,NA,1,0,6,NA,0.41667,0,0,0,0,0,0
9,2,NA,12,NA,NA,NA,NA,1,0,6,4,0.41667,0,0,0,NA,NA,0
9,2,NA,12,1,51,100,0.025,1,0,6,4,0.41667,0,0,0,NA,NA,0
9,2,NA,12,NA,51,NA,NA,NA,0,6,4,0.41667,0,0,0,0,0,0
11,2,0,12,5,52,100,0.135,1.214,1,36,4,0.58333,0.25,0,0,NA,NA,0
11,2,0,12,NA,52,100,0.135,NA,1,36,4,0.58333,0.25,0,0,NA,0,0
11,NA,NA,12,NA,52,100,NA,1.165,1,6,8,0.83333,0,0,0,0,NA,0
5,2,1,12,6,NA,100,NA,1.209,1,6,4,0.25,0.08333,0,0,NA,0,0
5,2,1,12,6,41,NA,NA,1.3,1,6,5,0.25,0.08333,0,0,0,NA,0
5,2,NA,12,6,NA,NA,NA,1.209,1,6,4,0.25,0.08333,0,0,NA,0,0
13,2,NA,12,2,40,100,0.05,1.212,1,39,8,0.25,0.25,0,0,0,0,0
44,2,NA,NA,NA,NA,100,NA,NA,1,12,4,0.58333,0.08333,0,0,NA,0,1
30,2,0,12,NA,NA,100,0.216,1,1,12,4,0.58333,0.08333,0,0,0,0,0
38,2,0,12,NA,50,NA,NA,1,1,12,4,0.58333,0.08333,0,0,NA,NA,0
44,2,NA,NA,NA,50,100,NA,NA,NA,12,4,0.58333,0.08333,0,0,0,0,1
25,2,NA,12,2,NA,100,0.216,1,1,6,4,0.58333,0.08333,0,0,NA,NA,1
19,2,0,NA,NA,50,NA,NA,1,1,6,4,0.58333,0.08333,0,0,NA,NA,0
15,NA,1,12,2,50,100,0.216,1,1,6,4,0.58333,0.08333,0,0,NA,0,0
16,2,1,12,NA,50,100,NA,1,1,6,4,0.58333,0.08333,0,0,NA,0,1
10,2,NA,12,3,59,NA,NA,1,1,6,4,0.33333,0,0,0,NA,0,0
10,2,1,12,3,59,NA,NA,1,1,6,4,0.25,0.08333,0,0,0,NA,0
10,2,NA,12,NA,49,100,1,1,1,12,4,0.66667,0.08333,0,0,NA,0,0
3,NA,0,4,8,44,100,NA,1.4,1,6,5,0.08333,0.08333,0,0,NA,0,0
3,NA,0,4,8,NA,100,NA,1.378,NA,4,5,0.16667,0,0,0,0,0,0
6,NA,0,3,3,42,NA,0.05,1,1,6,4,0.16667,0.08333,0,0,0,NA,0
6,NA,NA,3,NA,NA,NA,0.05,1.101,1,6,4,0.16667,0.08333,0,0,NA,NA,0
6,2,0,3,3,NA,NA,NA,1,1,6,4,0.25,0,0,0,NA,NA,0
6,NA,1,3,3,42,NA,0.05,1.004,1,6,4,0.25,0,0,0,0,0,0
9,NA,NA,3,2,46,NA,0.2,NA,1,2,4,0.41667,0,0,0,NA,NA,0
5,2,1,3,1,48,100,0.19,1.019,1,6,4,0.25,0.08333,0,0,NA,NA,0
5,2,1,3,NA,48,NA,0.185,1,1,6,4,0.33333,0,0,0,NA,NA,0
6,2,0,3,3,NA,100,0.05,1.3,1,6,NA,0.16667,0.08333,0,0,NA,NA,0
6,2,1,3,NA,NA,100,0.05,1.3,1,6,5,0.25,0,0,0,NA,0,0
5,2,1,NA,2,46,NA,NA,1.5,1,6,5,0.08333,0.08333,0,0,0,NA,0
5,2,1,3,2,NA,NA,NA,1.3,1,6,5,0.16667,0,0,0,NA,0,0
3,NA,0,3,4,44,NA,NA,1,1,6,8,0.16667,0,0,0,NA,0,0
3,2,0,3,4,44,100,0.403,1.096,1,6,8,0.16667,0,0,0,0,NA,0
16,2,0,3,5,NA,100,NA,1,1,12,8,0,0.08333,0,0,NA,0,0
16,2,0,3,5,NA,100,0.649,1,1,6,4,0,0.08333,0,0,0,NA,0
9,NA,NA,3,2,44,NA,NA,1,1,12,4,0.58333,0.08333,0,0,0,0,0
9,2,1,NA,NA,44,100,1,1,1,12,4,0.58333,0.08333,0,0,0,NA,0
7,2,1,3,NA,NA,NA,1,1,1,12,4,0.5,0.08333,0,0,0,0,0
7,2,NA,NA,2,NA,100,1,1,1,12,4,0.5,0.08333,0,0,NA,0,0
10,2,0,3,2,46,NA,NA,1,NA,12,4,0.25,0.08333,0,0,0,NA,0
3,NA,0,3,NA,43,NA,NA,1,1,12,4,0.08333,0.08333,0,0,0,0,1
10,NA,0,3,2,NA,100,NA,1.023,1,12,4,0.25,0.08333,0,0,0,NA,0
3,NA,0,NA,4,NA,100,1,1.105,NA,6,4,0.08333,0.08333,0,0,NA,0,0
7,2,0,3,2,49,NA,1,1.111,1,12,4,0.5,0.08333,0,0,0,NA,0
26,2,0,3,NA,NA,100,1,NA,1,36,4,0,0.25,0,0,NA,NA,0
10,2,1,3,2,48,100,1,NA,1,48,4,0.41667,0.33333,0,0,0,0,0
3,2,1,3,4,NA,100,1,1.4,1,6,5,0.08333,0.08333,0,0,0,NA,0
14,NA,1,NA,NA,NA,100,NA,1.099,1,54,8,0.16667,0.33333,0,0,NA,NA,0
25,2,1,2,3,57,NA,NA,1.106,1,12,8,0.08333,0.08333,0,0,NA,NA,0
25,NA,1,2,NA,57,100,NA,1.128,1,12,8,0.08333,0.08333,0,0,0,0,0
5,2,NA,NA,3,34,100,0.106,1,1,9,5,0.25,0,0,0,NA,NA,0
5,NA,0,2,3,40,100,0.099,1.148,1,18,8,0,0.16667,0,0,NA,NA,0
16,NA,0,2,NA,54,NA,NA,1.158,1,12,6,0,0.08333,0,0,0,NA,0
17,2,0,2,NA,52,NA,0.2,1.155,0,12,6,0.08333,0.08333,0,0,NA,0,0
17,NA,0,NA,2,52,100,0.2,1,NA,12,NA,0.08333,0.08333,0,0,NA,NA,0
26,2,NA,NA,NA,47,NA,0.03,NA,NA,3,4,0.25,0.08333,0,0,0,0,0
26,2,1,2,3,47,100,NA,1,1,6,4,0.33333,0,0,0,NA,0,0
